Map = {
SpawnPoint3 = {
	type = "SpawnPoint",
	model = "iron.mesh",
	isStatic = false,
	physic_type = "static",
	physic_entity = "rigid",
	physic_mass = 1.000000,
	animation_name = "Gather",
	action_type = 2,
	max_resource_quantity = 2000,
	smart_position_3 = {0, 0, -4},
	smart_position_1 = {0, 0, 4},
	smart_position_4 = {-4, 0, 0},
	smart_position_2 = {4, 0, 0},
	smart_positions_num = 4,
},
IronOresIron12 = {
	type = "Iron",
	position = {279.9, 0.2, -324.3},
	orientation = 310.292800,
	physic_shape = "box",
	physic_dimensions = {3.6, 3.345, 3.27},
	physic_trigger = false,
	physic_group = 11,
	scale = 1.000000,
	model = "iron.mesh",
	isStatic = false,
	physic_type = "static",
	physic_entity = "rigid",
	physic_mass = 1.000000,
	animation_name = "Gather",
	action_type = 2,
	max_resource_quantity = 2000,
	smart_position_2 = {4, 0, 0},
	smart_position_1 = {0, 0, 4},
	smart_position_3 = {0, 0, -4},
	smart_position_4 = {-4, 0, 0},
	smart_positions_num = 4,
},
IronOresIron13 = {
	type = "Iron",
	position = {307.4, 0.2, -324.3},
	orientation = 310.292800,
	physic_shape = "box",
	physic_dimensions = {3.6, 3.345, 3.27},
	physic_trigger = false,
	physic_group = 11,
	scale = 1.000000,
	model = "iron.mesh",
	isStatic = false,
	physic_type = "static",
	physic_entity = "rigid",
	physic_mass = 1.000000,
	animation_name = "Gather",
	action_type = 2,
	max_resource_quantity = 2000,
	smart_position_4 = {-4, 0, 0},
	smart_position_3 = {0, 0, -4},
	smart_position_1 = {0, 0, 4},
	smart_position_2 = {4, 0, 0},
	smart_positions_num = 4,
},
IronOresIron14 = {
	type = "Iron",
	position = {298.1, 0.2, -352.8},
	orientation = 310.292800,
	physic_shape = "box",
	physic_dimensions = {3.6, 3.345, 3.27},
	physic_trigger = false,
	physic_group = 11,
	scale = 1.000000,
	model = "iron.mesh",
	isStatic = false,
	physic_type = "static",
	physic_entity = "rigid",
	physic_mass = 1.000000,
	animation_name = "Gather",
	action_type = 2,
	max_resource_quantity = 2000,
	smart_position_2 = {4, 0, 0},
	smart_position_3 = {0, 0, -4},
	smart_position_4 = {-4, 0, 0},
	smart_position_1 = {0, 0, 4},
	smart_positions_num = 4,
},
IronOresIron15 = {
	type = "Iron",
	position = {269.1, 0.2, -352.8},
	orientation = 310.292800,
	physic_shape = "box",
	physic_dimensions = {3.6, 3.345, 3.27},
	physic_trigger = false,
	physic_group = 11,
	scale = 1.000000,
	model = "iron.mesh",
	isStatic = false,
	physic_type = "static",
	physic_entity = "rigid",
	physic_mass = 1.000000,
	animation_name = "Gather",
	action_type = 2,
	max_resource_quantity = 2000,
	smart_position_2 = {4, 0, 0},
	smart_position_3 = {0, 0, -4},
	smart_position_1 = {0, 0, 4},
	smart_position_4 = {-4, 0, 0},
	smart_positions_num = 4,
},
IronOresIron16 = {
	type = "Iron",
	position = {329.4, 0.2, -365.9},
	orientation = 310.292800,
	physic_shape = "box",
	physic_dimensions = {3.6, 3.345, 3.27},
	physic_trigger = false,
	physic_group = 11,
	scale = 1.000000,
	model = "iron.mesh",
	isStatic = false,
	physic_type = "static",
	physic_entity = "rigid",
	physic_mass = 1.000000,
	animation_name = "Gather",
	action_type = 2,
	max_resource_quantity = 2000,
	smart_position_1 = {0, 0, 4},
	smart_position_3 = {0, 0, -4},
	smart_position_2 = {4, 0, 0},
	smart_position_4 = {-4, 0, 0},
	smart_positions_num = 4,
},
IronOresIron17 = {
	type = "Iron",
	position = {324.4, 0.2, -341.7},
	orientation = 310.292800,
	physic_shape = "box",
	physic_dimensions = {3.6, 3.345, 3.27},
	physic_trigger = false,
	physic_group = 11,
	scale = 1.000000,
	model = "iron.mesh",
	isStatic = false,
	physic_type = "static",
	physic_entity = "rigid",
	physic_mass = 1.000000,
	animation_name = "Gather",
	action_type = 2,
	max_resource_quantity = 2000,
	smart_position_1 = {0, 0, 4},
	smart_position_2 = {4, 0, 0},
	smart_position_3 = {0, 0, -4},
	smart_position_4 = {-4, 0, 0},
	smart_positions_num = 4,
},
IronOresIron18 = {
	type = "Iron",
	position = {348.5, 0.2, -347.9},
	orientation = 310.292800,
	physic_shape = "box",
	physic_dimensions = {3.6, 3.345, 3.27},
	physic_trigger = false,
	physic_group = 11,
	scale = 1.000000,
	model = "iron.mesh",
	isStatic = false,
	physic_type = "static",
	physic_entity = "rigid",
	physic_mass = 1.000000,
	animation_name = "Gather",
	action_type = 2,
	max_resource_quantity = 2000,
	smart_position_3 = {0, 0, -4},
	smart_position_4 = {-4, 0, 0},
	smart_position_2 = {4, 0, 0},
	smart_position_1 = {0, 0, 4},
	smart_positions_num = 4,
},
IronOresIron19 = {
	type = "Iron",
	position = {341.5, 0.2, -325.3},
	orientation = 310.292800,
	physic_shape = "box",
	physic_dimensions = {3.6, 3.345, 3.27},
	physic_trigger = false,
	physic_group = 11,
	scale = 1.000000,
	model = "iron.mesh",
	isStatic = false,
	physic_type = "static",
	physic_entity = "rigid",
	physic_mass = 1.000000,
	animation_name = "Gather",
	action_type = 2,
	max_resource_quantity = 2000,
	smart_position_4 = {-4, 0, 0},
	smart_position_2 = {4, 0, 0},
	smart_position_1 = {0, 0, 4},
	smart_position_3 = {0, 0, -4},
	smart_positions_num = 4,
},
IronOresIron20 = {
	type = "Iron",
	position = {251.7, 0.2, -257.9},
	orientation = 310.292800,
	physic_shape = "box",
	physic_dimensions = {3.6, 3.345, 3.27},
	physic_trigger = false,
	physic_group = 11,
	scale = 1.000000,
	model = "iron.mesh",
	isStatic = false,
	physic_type = "static",
	physic_entity = "rigid",
	physic_mass = 1.000000,
	animation_name = "Gather",
	action_type = 2,
	max_resource_quantity = 2000,
	smart_position_4 = {-4, 0, 0},
	smart_position_3 = {0, 0, -4},
	smart_position_1 = {0, 0, 4},
	smart_position_2 = {4, 0, 0},
	smart_positions_num = 4,
},
IronOresIron21 = {
	type = "Iron",
	position = {269.5, 0.2, -257.9},
	orientation = 310.292800,
	physic_shape = "box",
	physic_dimensions = {3.6, 3.345, 3.27},
	physic_trigger = false,
	physic_group = 11,
	scale = 1.000000,
	model = "iron.mesh",
	isStatic = false,
	physic_type = "static",
	physic_entity = "rigid",
	physic_mass = 1.000000,
	animation_name = "Gather",
	action_type = 2,
	max_resource_quantity = 2000,
	smart_position_3 = {0, 0, -4},
	smart_position_4 = {-4, 0, 0},
	smart_position_2 = {4, 0, 0},
	smart_position_1 = {0, 0, 4},
	smart_positions_num = 4,
},
IronOresIron22 = {
	type = "Iron",
	position = {217.6, 0.2, -256.9},
	orientation = 310.292800,
	physic_shape = "box",
	physic_dimensions = {3.6, 3.345, 3.27},
	physic_trigger = false,
	physic_group = 11,
	scale = 1.000000,
	model = "iron.mesh",
	isStatic = false,
	physic_type = "static",
	physic_entity = "rigid",
	physic_mass = 1.000000,
	animation_name = "Gather",
	action_type = 2,
	max_resource_quantity = 2000,
	smart_position_2 = {4, 0, 0},
	smart_position_4 = {-4, 0, 0},
	smart_position_1 = {0, 0, 4},
	smart_position_3 = {0, 0, -4},
	smart_positions_num = 4,
},
IronOresIron23 = {
	type = "Iron",
	position = {212.6, 0.2, -232.7},
	orientation = 310.292800,
	physic_shape = "box",
	physic_dimensions = {3.6, 3.345, 3.27},
	physic_trigger = false,
	physic_group = 11,
	scale = 1.000000,
	model = "iron.mesh",
	isStatic = false,
	physic_type = "static",
	physic_entity = "rigid",
	physic_mass = 1.000000,
	animation_name = "Gather",
	action_type = 2,
	max_resource_quantity = 2000,
	smart_position_4 = {-4, 0, 0},
	smart_position_1 = {0, 0, 4},
	smart_position_3 = {0, 0, -4},
	smart_position_2 = {4, 0, 0},
	smart_positions_num = 4,
},
IronOresIron24 = {
	type = "Iron",
	position = {236.7, 0.2, -238.9},
	orientation = 310.292800,
	physic_shape = "box",
	physic_dimensions = {3.6, 3.345, 3.27},
	physic_trigger = false,
	physic_group = 11,
	scale = 1.000000,
	model = "iron.mesh",
	isStatic = false,
	physic_type = "static",
	physic_entity = "rigid",
	physic_mass = 1.000000,
	animation_name = "Gather",
	action_type = 2,
	max_resource_quantity = 2000,
	smart_position_1 = {0, 0, 4},
	smart_position_2 = {4, 0, 0},
	smart_position_4 = {-4, 0, 0},
	smart_position_3 = {0, 0, -4},
	smart_positions_num = 4,
},
IronOresIron25 = {
	type = "Iron",
	position = {247.5, 0.2, -216.3},
	orientation = 310.292800,
	physic_shape = "box",
	physic_dimensions = {3.6, 3.345, 3.27},
	physic_trigger = false,
	physic_group = 11,
	scale = 1.000000,
	model = "iron.mesh",
	isStatic = false,
	physic_type = "static",
	physic_entity = "rigid",
	physic_mass = 1.000000,
	animation_name = "Gather",
	action_type = 2,
	max_resource_quantity = 2000,
	smart_position_3 = {0, 0, -4},
	smart_position_1 = {0, 0, 4},
	smart_position_4 = {-4, 0, 0},
	smart_position_2 = {4, 0, 0},
	smart_positions_num = 4,
},
IronOresIron26 = {
	type = "Iron",
	position = {229.7, 0.2, -216.3},
	orientation = 310.292800,
	physic_shape = "box",
	physic_dimensions = {3.6, 3.345, 3.27},
	physic_trigger = false,
	physic_group = 11,
	scale = 1.000000,
	model = "iron.mesh",
	isStatic = false,
	physic_type = "static",
	physic_entity = "rigid",
	physic_mass = 1.000000,
	animation_name = "Gather",
	action_type = 2,
	max_resource_quantity = 2000,
	smart_position_2 = {4, 0, 0},
	smart_position_1 = {0, 0, 4},
	smart_position_4 = {-4, 0, 0},
	smart_position_3 = {0, 0, -4},
	smart_positions_num = 4,
},
ChestTrapHelper = {
	type = "ChestTrapHelper",
	isGenerator = true,
	position = {212.3, -100, 31.5},
	orientation = 180.000000,
	scale = 1.000000,
	model = "chest.mesh",
	isStatic = false,
	correctPositionMaterial = "marineBlue",
	wrongPositionMaterial = "marineRed",
	smart_position_1 = {0, 0, 10},
	smart_positions_num = 1,
},
WellHelper = {
	type = "WellHelper",
	isGenerator = true,
	position = {1.06, -100, 31.55},
	orientation = 0.000000,
	scale = 2.000000,
	model = "well.mesh",
	isStatic = false,
	correctPositionMaterial = "WellMaterial",
	wrongPositionMaterial = "WellMaterialRed",
},
Chest = {
	type = "Chest",
	position = {67.9, 0, -238},
	orientation = 180.000000,
	physic_shape = "box",
	physic_dimensions = {3.135, 3, 2.695},
	physic_trigger = false,
	physic_group = 13,
	scale = 1.000000,
	model = "chest.mesh",
	isStatic = false,
	physic_type = "kinematic",
	physic_entity = "rigid",
	physic_mass = 999.999900,
	animation_name = "Build",
	action_type = 4,
	transported_mesh_model = "chest_rope.mesh",
	discovery_range = 80.000000,
	discovery_collision_group = 12,
	smart_position_2 = {10, 0, 0},
	smart_position_1 = {-10, 0, 0},
	smart_position_4 = {0, 0, -10},
	smart_position_3 = {0, 0, 10},
	smart_positions_num = 4,
},
CaveBase = {
	type = "CaveBase",
	position = {0, 0, 0},
	orientation = 0.000000,
	scale = 1.000000,
	model = "cave_base.mesh",
	isStatic = true,
	physic_entity = "fromFile",
	physic_file = "media/models/CaveBase.RepX",
	physic_group = 15,
	physic_normal = {0, 1, 0},
},
Knight = {
	type = "Knight",
	isEnemy = true,
	isGenerator = true,
	position = {3, -100, 175},
	orientation = 0.000000,
	model = "knight.mesh",
	defaultAnimation = "Idle",
	scale = 1.000000,
	speed = 0.006000,
	angularSpeed = 15.000000,
	accel = 0.001000,
	angularAccel = 3.000000,
	movementTolerance = 1.500000,
	physic_height = 4.000000,
	physic_radius = 1.000000,
	physic_shape = "capsule",
	physic_group = 10,
	behavior = "knight",
	life = 100,
	lifebar_position = {0, 12, -3},
	lifebar_color_r = 0.980000,
	lifebar_color_g = 0.130000,
	lifebar_color_b = 0.120000,
	attack_range = 15.000000,
	attack_damage = 25,
	time_between_attacks = 750,
	attack_animation = "Attack",
	detection_range = 20.000000,
	detector_collision_group = 12,
	moving_detection = false,
	is_aggressive = false,
	can_defend_position = false,
	can_keep_attacking = false,
	defending_distance = 40.000000,
	particle_systems_count = 1,
	particle_systems_0 = "stunned",
	defaultParticleSystem = "",
},
Ground = {
	type = "Ground",
	position = {0, 0.5, 0},
	orientation = 0.000000,
	scale = 1.000000,
	model = "ground.mesh",
	isStatic = true,
	terrain_material = "material_decals",
	destination_texture_width = 2.000000,
	destination_texture_height = 2.000000,
	destination_projection_height = 3.000000,
	destination_material = "destination_mark",
	physic_entity = "fromFile",
	physic_file = "media/models/Ground.RepX",
	physic_group = 8,
	physic_normal = {0, 1, 0},
	physic_bounds = {817.3804, 8.109098, 824.7672},
},
Arrow = {
	type = "Arrow",
	isGenerator = true,
	position = {-38.18546, -100, -158.6729},
	orientation = 0.000000,
	scale = 1.000000,
	model = "arrow.mesh",
	isStatic = false,
	particle_name = "arrowLight",
	particle_systems_count = 1,
	particle_systems_0 = "arrowLight",
	defaultParticleSystem = "",
},
GameManager = {
	type = "GameManager",
	position = {11.09875, -47.30884, 48.87971},
	orientation = 0.000000,
	loadWaveLevel = "media/lua/tutorialWave.lua",
	loadGameLevel = "media/lua/Tutorial.lua",
	loadAnimationInventary = "media/lua/AnimationInventary.lua",
	loadAnimationTrack = "media/lua/Track.lua",
	currentGameType = "tutorial",
	currentGameLevel = 0,
	worldTopLimit = 0.020000,
	worldBottomLimit = 0.525000,
	worldRightLimit = 0.061000,
	worldLeftLimit = 0.061000,
	audio_bank_count = 2,
	audio_bank_0 = "Master Bank.bank",
	audio_bank_1 = "Master Bank.strings.bank",
	sound_event_count = 1,
	sound_event_0 = "event:/Music/Drums",
	defaultEvent = "event:/Music/Background",
},
Tent = {
	type = "Tent",
	position = {-326.7, 0, -261.9},
	orientation = 45.000010,
	physic_shape = "box",
	physic_dimensions = {9.265985, 6.78, 12.58583},
	physic_trigger = false,
	physic_group = 15,
	scale = 1.000000,
	model = "tent.mesh",
	isStatic = false,
	physic_type = "static",
	physic_entity = "rigid",
	physic_mass = 1.000000,
},
SpawnPoint2 = {
	type = "SpawnPoint",
	position = {-16, 6, -33},
	orientation = 0.000000,
	spawn_box_dimension = {10, 0, 2},
	spawn_circle_radius = 0.000000,
	spawn_type = "box",
},
WayPointList = {
	type = "WayPoint",
	WayPoint0 = {129.7561, 1.674111, -392.9463},
	WayPoint1 = {124.2895, 1.674111, -320.5129},
	WayPoint2 = {65.52279, 1.674111, -263.1129},
	WayPoint3 = {111.9895, 1.674111, -312.313},
	WayPoint4 = {117.4561, 1.674111, -313.6796},
	WayPoint5 = {-123.0772, 1.674111, -320.5129},
	WayPoint6 = {-80.71053, 1.674111, -279.5129},
	WayPoint7 = {-321.2438, 1.674111, -279.5129},
	WayPoint8 = {-326.7105, 1.674111, -279.5129},
	WayPoint9 = {99.68945, 1.946111, -331.4463},
	WayPoint10 = {99.68945, 1.946111, -325.9796},
	WayPoint11 = {84.65612, 1.946111, -313.6796},
	WayPoint12 = {53.22279, 1.946111, -313.6796},
	WayPoint13 = {57.32279, 1.946111, -317.7796},
	WayPoint14 = {103.7895, 1.946111, -334.1796},
	WayPoint15 = {-8.277204, 1.946111, -353.313},
	WayPoint16 = {-41.0772, 1.946111, -351.9463},
	WayPoint17 = {42.28946, 1.946111, -351.9463},
	WayPoint18 = {8.122795, 1.946111, -353.313},
	WayPoint19 = {-54.74387, 1.946111, -336.913},
	WayPoint20 = {-76.61053, 1.946111, -336.913},
	WayPoint21 = {-84.81053, 1.946111, -336.913},
	WayPoint22 = {-102.5772, 1.946111, -336.913},
	WayPoint23 = {-4.177204, 1.946111, -349.213},
	WayPoint24 = {4.022795, 1.946111, -349.213},
	WayPoint25 = {40.92279, 1.946111, -324.6129},
	WayPoint26 = {2.656129, 1.946111, -324.6129},
	WayPoint27 = {8.122795, 1.946111, -335.5463},
	WayPoint28 = {42.28946, 1.946111, -336.913},
	WayPoint29 = {-4.177204, 1.946111, -339.6463},
	WayPoint30 = {4.022795, 1.946111, -339.6463},
	WayPoint31 = {-39.71053, 1.946111, -324.6129},
	WayPoint32 = {-41.0772, 1.946111, -336.913},
	WayPoint33 = {-8.277204, 1.946111, -335.5463},
	WayPoint34 = {-5.543871, 1.946111, -324.6129},
	WayPoint35 = {-83.44386, 1.946111, -297.2796},
	WayPoint36 = {-88.91053, 1.946111, -302.7463},
	WayPoint37 = {-84.81053, 1.946111, -306.8463},
	WayPoint38 = {-77.9772, 1.946111, -301.3796},
	WayPoint39 = {-56.11053, 1.946111, -317.7796},
	WayPoint40 = {-52.01053, 1.946111, -305.4796},
	WayPoint41 = {-56.11053, 1.946111, -301.3796},
	WayPoint42 = {-72.51053, 1.946111, -301.3796},
	WayPoint43 = {-76.61053, 1.946111, -320.5129},
	WayPoint44 = {-72.51053, 1.946111, -324.6129},
	WayPoint45 = {-84.81053, 1.946111, -313.6796},
	WayPoint46 = {-90.2772, 1.946111, -331.4463},
	WayPoint47 = {-98.4772, 1.946111, -331.4463},
	WayPoint48 = {-39.71053, 1.946111, -317.7796},
	WayPoint49 = {-12.3772, 1.946111, -317.7796},
	WayPoint50 = {-12.3772, 1.946111, -310.9463},
	WayPoint51 = {-98.4772, 1.946111, -324.6129},
	WayPoint52 = {-90.2772, 1.946111, -324.6129},
	WayPoint53 = {-72.51053, 1.946111, -332.813},
	WayPoint54 = {-86.1772, 1.946111, -320.5129},
	WayPoint55 = {-54.74387, 1.946111, -287.713},
	WayPoint56 = {-62.94387, 1.946111, -289.0796},
	WayPoint57 = {-52.01053, 1.946111, -313.6796},
	WayPoint58 = {-43.81054, 1.946111, -305.4796},
	WayPoint59 = {-43.81054, 1.946111, -313.6796},
	WayPoint60 = {-8.277204, 1.946111, -305.4796},
	WayPoint61 = {88.75612, 1.946111, -301.3796},
	WayPoint62 = {83.28946, 1.946111, -297.2796},
	WayPoint63 = {79.18945, 1.946111, -301.3796},
	WayPoint64 = {84.65612, 1.946111, -306.8463},
	WayPoint65 = {9.489462, 1.946111, -310.9463},
	WayPoint66 = {9.489462, 1.946111, -317.7796},
	WayPoint67 = {40.92279, 1.946111, -317.7796},
	WayPoint68 = {72.35612, 1.946111, -301.3796},
	WayPoint69 = {62.78946, 1.946111, -289.0796},
	WayPoint70 = {55.95612, 1.946111, -289.0796},
	WayPoint71 = {57.32279, 1.946111, -301.3796},
	WayPoint72 = {45.02279, 1.946111, -313.6796},
	WayPoint73 = {45.02279, 1.946111, -305.4796},
	WayPoint74 = {5.389462, 1.946111, -305.4796},
	WayPoint75 = {53.22279, 1.946111, -305.4796},
	WayPoint76 = {-31.51054, 1.946111, -289.0796},
	WayPoint77 = {-31.51054, 1.946111, -284.9796},
	WayPoint78 = {-41.0772, 1.946111, -284.9796},
	WayPoint79 = {42.28946, 1.946111, -284.9796},
	WayPoint80 = {31.35613, 1.946111, -284.9796},
	WayPoint81 = {31.35613, 1.946111, -289.0796},
	WayPoint82 = {4.022795, 1.946111, -290.4463},
	WayPoint83 = {4.022795, 1.946111, -278.1463},
	WayPoint84 = {-4.177204, 1.946111, -278.1463},
	WayPoint85 = {-4.177204, 1.946111, -290.4463},
	WayPoint86 = {-27.41054, 1.946111, -293.1796},
	WayPoint87 = {-39.71053, 1.946111, -301.3796},
	WayPoint88 = {-8.277204, 1.946111, -294.5463},
	WayPoint89 = {8.122795, 1.946111, -294.5463},
	WayPoint90 = {40.92279, 1.946111, -301.3796},
	WayPoint91 = {27.25613, 1.946111, -293.1796},
	WayPoint92 = {-308.9438, 1.674111, -267.213},
	WayPoint93 = {-308.9438, 1.674111, -263.1129},
	WayPoint94 = {-64.31053, 1.674111, -263.1129},
	WayPoint95 = {-344.4772, 1.674111, -254.913},
	WayPoint96 = {-337.6438, 1.674111, -250.813},
	WayPoint97 = {-333.5439, 1.674111, -243.9796},
	WayPoint98 = {-344.4772, 1.674111, -261.7463},
	WayPoint99 = {31.35613, 1.674111, -260.3796},
	WayPoint100 = {31.35613, 1.674111, -265.8463},
	WayPoint101 = {27.25613, 1.674111, -256.2796},
	WayPoint102 = {14.95613, 1.674111, -254.913},
	WayPoint103 = {-4.177204, 1.674111, -259.013},
	WayPoint104 = {-4.177204, 1.674111, -265.8463},
	WayPoint105 = {4.022795, 1.674111, -265.8463},
	WayPoint106 = {4.022795, 1.674111, -259.013},
	WayPoint107 = {-287.0772, 1.674111, -246.713},
	WayPoint108 = {-8.277204, 1.674111, -254.913},
	WayPoint109 = {8.122795, 1.674111, -254.913},
	WayPoint110 = {-295.2772, 1.674111, -246.713},
	WayPoint111 = {-323.9772, 1.674111, -246.713},
	WayPoint112 = {-315.7772, 1.674111, -254.913},
	WayPoint113 = {-15.11054, 1.674111, -254.913},
	WayPoint114 = {-53.3772, 1.674111, -265.8463},
	WayPoint115 = {-31.51054, 1.674111, -265.8463},
	WayPoint116 = {-31.51054, 1.674111, -260.3796},
	WayPoint117 = {-54.74387, 1.674111, -263.1129},
	WayPoint118 = {-27.41054, 1.674111, -256.2796},
	WayPoint119 = {-282.9772, 1.674111, -211.1796},
	WayPoint120 = {-270.6772, 1.674111, -223.4796},
	WayPoint121 = {-270.6772, 1.674111, -230.313},
	WayPoint122 = {-299.3772, 1.674111, -239.8796},
	WayPoint123 = {-307.5772, 1.674111, -234.413},
	WayPoint124 = {-326.7105, 1.674111, -243.9796},
	WayPoint125 = {-307.5772, 1.674111, -228.9463},
	WayPoint126 = {-289.8105, 1.674111, -211.1796},
	WayPoint127 = {312.8894, 1.674111, -130.5463},
	WayPoint128 = {292.3894, 1.674111, -130.5463},
	WayPoint129 = {288.2894, 1.674111, -136.013},
	WayPoint130 = {282.8228, 1.674111, -136.013},
	WayPoint131 = {173.4894, 1.674111, -54.01297},
	WayPoint132 = {157.0894, 1.674111, -45.81297},
	WayPoint133 = {154.3561, 1.674111, -45.81297},
	WayPoint134 = {144.7894, 1.674111, -64.9463},
	WayPoint135 = {159.8228, 1.674111, -77.24631},
	WayPoint136 = {165.2894, 1.674111, -86.81297},
	WayPoint137 = {159.8228, 1.674111, -81.34631},
	WayPoint138 = {133.8561, 1.674111, -69.0463},
	WayPoint139 = {219.9561, 1.674111, -105.9463},
	WayPoint140 = {140.6895, 1.674111, -69.0463},
	WayPoint141 = {-6.910537, 1.674111, -14.37964},
	WayPoint142 = {102.4228, 1.674111, -44.44631},
	WayPoint143 = {-17.84387, 1.674111, -18.47964},
	WayPoint144 = {-11.01054, 1.674111, -18.47964},
	WayPoint145 = {363.4561, 1.674111, -56.74631},
	WayPoint146 = {204.9228, 1.674111, -15.74631},
	WayPoint147 = {244.5561, 1.674111, -30.77964},
	WayPoint148 = {282.8228, 1.674111, -49.91297},
	WayPoint149 = {140.6895, 1.674111, -40.34631},
	WayPoint150 = {137.9561, 1.674111, -36.24631},
	WayPoint151 = {135.2228, 1.674111, -41.71297},
	WayPoint152 = {137.9561, 1.674111, -45.81297},
	WayPoint153 = {177.5894, 1.674111, -8.912976},
	WayPoint154 = {173.4894, 1.674111, -13.01298},
	WayPoint155 = {172.1228, 1.674111, -19.84631},
	WayPoint156 = {189.8895, 1.674111, -28.04631},
	WayPoint157 = {198.0894, 1.674111, -15.74631},
	WayPoint158 = {177.5894, 1.674111, -3.44631},
	WayPoint159 = {155.7228, 1.674111, -7.54631},
	WayPoint160 = {151.6228, 1.674111, -6.179644},
	WayPoint161 = {151.6228, 1.674111, -8.912976},
	WayPointsNum = 162,
},
}
